time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
12901, -00001.752, -00015.902, -00056.102, -474.38
13001, -00002.482, -00016.052, -00056.402, -479.17
13101, -00001.662, -00017.702, -00056.852, -478.22
13201, -00001.412, -00017.402, -00054.602, -479.17
13301,  00001.052, -00017.252, -00056.402, -479.17
13401,  00001.862, -00016.502, -00056.402, -478.22
13501, -00002.752, -00017.402, -00056.852, -479.17
13601, -00000.242, -00015.452, -00056.102, -473.44
13701, -00001.502, -00016.652, -00056.102, -475.31
13801,  00002.202, -00016.952, -00056.852, -478.22
13901, -00001.782, -00016.802, -00057.452, -479.17
14001,  00001.002, -00016.952, -00056.852, -479.17
14101, -00001.472, -00016.952, -00057.752, -478.22
14201,  00001.342, -00017.402, -00056.552, -479.17
14301, -00000.252, -00018.002, -00055.952, -478.22
14401, -00002.882, -00016.202, -00056.852, -474.38
14501, -00001.862, -00017.252, -00057.152, -479.17
14601, -00004.272, -00017.402, -00056.102, -478.22
14701, -00001.812, -00017.252, -00055.502, -475.31
14801, -00001.292, -00015.452, -00055.802, -478.22
14901, -00001.412, -00016.652, -00056.552, -474.38
15001, -00003.892, -00016.652, -00055.352, -479.17
15101, -00000.662, -00017.552, -00054.752, -479.17
15201, -00001.372, -00016.052, -00055.502, -480.11
15301, -00000.692, -00018.302, -00055.952, -482.01
15401, -00000.482, -00016.202, -00057.302, -484.85
15501, -00000.342, -00016.202, -00055.802, -486.74
15601, -00000.872, -00017.252, -00055.952, -491.48
15701, -00001.332, -00018.152, -00056.552, -494.32
15801, -00000.402, -00017.402, -00056.552, -497.16
15901, -00000.442, -00015.902, -00055.802, -501.89
16001, -00004.662, -00016.952, -00057.302, -505.68
16101, -00000.242, -00016.052, -00054.452, -509.47
16201,  00000.112, -00016.952, -00056.552, -513.26
16301,  00002.852, -00018.002, -00057.152, -516.10
16401, -00002.022, -00016.802, -00053.552, -519.89
16501, -00002.652, -00016.052, -00056.402, -523.67
16601, -00000.952, -00015.452, -00055.802, -529.36
16701, -00000.172, -00016.652, -00056.102, -531.25
16801, -00001.912, -00017.552, -00055.952, -535.04
16901, -00000.152, -00017.252, -00056.402, -538.83
17001, -00000.272, -00016.952, -00057.302, -543.56
17101, -00002.332, -00016.952, -00056.552, -548.30
17201, -00000.792, -00017.252, -00055.952, -550.19
17301,  00001.622, -00016.652, -00056.102, -554.92
17401,  00000.572, -00017.252, -00054.752, -558.71
17501, -00000.732, -00016.502, -00055.502, -562.50
17601, -00001.312, -00017.252, -00055.952, -566.29
17701, -00000.952, -00018.302, -00055.502, -568.18
17801,  00000.852, -00017.402, -00057.302, -568.18
17901, -00001.822, -00016.952, -00057.302, -567.23
18001, -00000.802, -00016.652, -00056.552, -563.45
18101, -00000.262, -00016.952, -00056.852, -563.45
18201,  00000.402, -00016.952, -00056.102, -559.66
18301, -00002.812, -00016.652, -00055.802, -556.82
18401, -00001.902, -00017.402, -00056.852, -554.92
18501,  00001.052, -00016.652, -00055.052, -550.19
18601, -00001.452, -00016.202, -00056.102, -545.45
18701, -00000.122, -00016.052, -00055.202, -544.51
18801,  00000.642, -00016.202, -00056.552, -539.77
18901, -00003.212, -00016.802, -00054.452, -535.04
19001, -00000.072, -00015.452, -00056.102, -532.20
19101, -00001.242, -00016.502, -00056.402, -529.36
19201, -00000.272, -00017.552, -00055.502, -524.62
19301, -00000.452, -00017.252, -00056.402, -519.89
19401,  00000.892, -00017.702, -00055.352, -517.05
19501,  00000.232, -00016.052, -00057.902, -513.26
19601, -00001.802, -00016.802, -00057.152, -508.52
19701, -00000.662, -00017.402, -00055.802, -505.68
19801,  00001.122, -00016.802, -00056.702, -500.95
19901,  00000.252, -00017.702, -00056.852, -497.16
20001,  00000.472, -00016.952, -00057.752, -493.37
20101, -00001.552, -00016.802, -00056.402, -489.58
20201,  00000.242, -00016.202, -00055.052, -486.74
20301, -00001.542, -00017.252, -00055.952, -480.00
20401,  00000.112, -00017.252, -00056.402, -482.01
20501,  00000.262, -00017.402, -00055.802, -482.01
20601, -00000.372, -00018.752, -00057.152, -476.25
20701, -00001.722, -00017.252, -00056.402, -480.11
20801, -00002.892, -00017.402, -00056.102, -480.11
20901, -00001.182, -00016.802, -00056.402, -480.11
21001, -00005.062, -00016.652, -00056.102, -479.17
21101, -00001.762, -00016.052, -00055.502, -479.17
21201, -00001.052, -00017.702, -00057.302, -474.38
21301,  00001.802, -00016.052, -00055.952, -479.17
21401,  00001.722, -00018.152, -00056.552, -475.31
21501, -00002.532, -00016.952, -00057.302, -478.22
21601, -00000.812, -00016.502, -00055.952, -479.17
21701, -00001.272, -00015.902, -00058.502, -473.44
21801, -00001.952, -00018.152, -00058.052, -479.17
21901, -00000.752, -00016.202, -00057.302, -479.17
22001, -00000.762, -00018.302, -00055.502, -478.22
22101, -00000.862, -00016.952, -00056.852, -480.11
22201,  00000.202, -00016.202, -00056.852, -477.27
22301,  00000.182, -00018.002, -00055.952, -480.11
22401,  00001.102, -00017.552, -00057.152, -473.44
22501,  00001.602, -00016.502, -00057.152, -474.38
22601, -00002.792, -00016.802, -00056.702, -479.17
22701, -00000.152, -00016.202, -00056.102, -473.44
22801,  00001.962, -00016.052, -00056.402, -480.11
22901, -00000.272, -00016.502, -00057.152, -478.22
23001, -00000.212, -00016.952, -00055.802, -478.22
23101, -00002.312, -00018.152, -00056.552, -474.38
23201,  00001.692, -00017.552, -00055.202, -479.17
23301, -00001.152, -00017.252, -00055.502, -479.17
23401, -00002.352, -00016.802, -00055.952, -478.22
23501, -00001.442, -00016.652, -00055.802, -479.17
23601,  00000.162, -00017.402, -00054.152, -479.17
23701, -00001.212, -00016.202, -00055.802, -478.22
23801, -00002.952, -00016.502, -00057.152, -479.17
23901, -00001.552, -00016.502, -00056.702, -474.38
24001,  00000.632, -00018.152, -00056.102, -479.17
24101,  00001.312, -00016.952, -00057.302, -474.38
24201, -00001.252, -00016.802, -00057.152, -479.17
24301,  00001.732, -00015.752, -00057.902, -474.38
24401, -00003.382, -00017.402, -00056.852, -478.22
24501,  00000.032, -00016.952, -00056.102, -480.11
24601,  00000.522, -00017.402, -00054.602, -478.22
24701,  00001.892, -00016.202, -00056.102, -475.31
24801,  00001.062, -00016.202, -00056.552, -478.22
24901,  00000.802, -00017.552, -00056.702, -479.17
25001,  00003.322, -00016.202, -00056.852, -479.17
25101,  00000.202, -00017.702, -00057.752, -478.22
25201, -00000.872, -00017.252, -00055.952, -479.17
25301,  00001.052, -00016.802, -00055.502, -474.43
25401,  00002.932, -00015.302, -00055.202, -473.48
25501, -00000.212, -00017.402, -00055.352, -470.64
25601, -00001.342, -00015.752, -00056.702, -467.80
25701, -00001.342, -00016.052, -00056.702, -464.02
25801, -00002.892, -00017.252, -00056.702, -459.28
25901,  00001.522, -00017.252, -00055.952, -457.39
26001, -00000.402, -00016.652, -00056.102, -452.65
26101,  00001.962, -00016.802, -00056.402, -448.86
26201,  00002.512, -00017.402, -00055.352, -445.08
26301, -00000.802, -00016.652, -00055.802, -442.23
26401, -00000.832, -00017.252, -00055.952, -436.55
26501, -00000.632, -00016.502, -00055.952, -434.66
26601, -00001.152, -00017.252, -00055.502, -428.98
26701, -00002.842, -00017.252, -00056.402, -426.14
26801,  00002.222, -00016.202, -00056.552, -421.40
26901, -00002.052, -00018.002, -00055.952, -417.61
27001, -00000.562, -00016.202, -00055.802, -413.83
27101, -00001.112, -00018.002, -00057.452, -410.04
27201,  00003.172, -00016.502, -00055.502, -405.30
27301,  00002.262, -00016.052, -00056.402, -403.41
27401, -00000.472, -00017.402, -00056.552, -397.73
27501, -00002.392, -00016.502, -00057.452, -394.89
27601, -00000.852, -00017.252, -00055.952, -390.15
27701, -00000.252, -00016.952, -00056.102, -389.20
27801, -00000.102, -00017.402, -00057.302, -389.20
27901, -00000.372, -00016.652, -00056.102, -389.20
28001, -00001.102, -00015.452, -00055.802, -392.05
28101,  00000.002, -00016.502, -00057.152, -393.94
28201,  00002.822, -00015.902, -00055.802, -393.75
28301, -00001.732, -00017.552, -00056.402, -399.62
28401, -00000.482, -00016.802, -00055.952, -404.36
28501,  00000.632, -00017.252, -00057.452, -408.14
28601,  00001.872, -00016.952, -00056.102, -410.98
28701, -00001.422, -00015.752, -00055.952, -415.72
28801,  00000.112, -00016.802, -00057.152, -418.56
28901,  00001.702, -00016.802, -00056.402, -424.24
29001,  00000.852, -00016.652, -00056.552, -427.08
29101, -00001.572, -00017.552, -00056.402, -430.87
29201, -00000.602, -00016.202, -00056.552, -433.71
29301, -00002.442, -00017.402, -00056.552, -439.39
29401, -00001.442, -00016.052, -00055.952, -443.18
29501,  00001.812, -00016.802, -00055.502, -444.13
29601, -00001.482, -00016.202, -00056.552, -451.70
29701,  00000.262, -00017.702, -00057.302, -453.60
29801,  00001.262, -00016.952, -00055.352, -458.33
29901, -00001.082, -00016.802, -00056.402, -461.17
30001, -00003.002, -00017.552, -00055.202, -465.91
30101, -00003.082, -00016.802, -00055.952, -470.64
30201,  00001.212, -00016.952, -00056.102, -472.54
30301, -00000.892, -00017.552, -00056.702, -475.38
30401, -00003.082, -00018.002, -00056.402, -476.33
30501, -00002.602, -00018.002, -00055.502, -476.33
30601, -00002.102, -00018.152, -00055.352, -472.50
30701, -00001.152, -00016.502, -00056.402, -479.17
30801, -00000.812, -00017.552, -00057.152, -478.22
30901,  00000.892, -00016.952, -00055.802, -479.17
31001, -00002.442, -00016.952, -00054.152, -479.17
31101, -00000.412, -00016.052, -00057.902, -479.17
31201, -00000.152, -00017.702, -00056.102, -479.17
31301,  00000.032, -00018.152, -00055.802, -478.22
31401, -00000.242, -00016.802, -00055.952, -476.25
31501,  00000.342, -00017.402, -00055.352, -478.22
31601,  00000.252, -00016.202, -00056.102, -480.11
31701, -00002.122, -00017.252, -00056.702, -479.17
31801,  00000.292, -00017.402, -00055.052, -480.11
31901,  00002.202, -00016.952, -00056.552, -479.17
32001, -00000.352, -00016.652, -00056.552, -479.17
32101, -00001.312, -00016.502, -00056.402, -481.06
32201,  00003.642, -00018.002, -00056.702, -478.22
32301,  00000.472, -00015.752, -00057.152, -480.11
32401,  00000.412, -00017.402, -00056.552, -479.17
32501, -00000.082, -00015.902, -00057.752, -479.17
32601,  00000.222, -00016.202, -00056.852, -476.25
32701, -00000.032, -00015.752, -00056.402, -478.22
32801, -00001.912, -00017.252, -00057.152, -481.06
32901, -00001.852, -00016.952, -00055.802, -479.17
33001,  00000.292, -00015.902, -00055.352, -479.17
33101,  00000.652, -00016.802, -00055.502, -479.17
33201,  00000.762, -00016.052, -00057.152, -480.11
33301, -00000.492, -00015.902, -00055.802, -480.11
33401,  00001.052, -00018.002, -00058.352, -479.17
33501, -00000.182, -00017.252, -00056.702, -475.31
33601, -00001.952, -00016.052, -00055.952, -479.17
33701,  00000.172, -00016.802, -00056.402, -479.17
33801,  00000.572, -00016.502, -00057.902, -481.06
33901, -00001.512, -00016.802, -00056.402, -478.22
34001, -00000.792, -00017.702, -00056.852, -480.11
34101, -00000.362, -00015.752, -00055.502, -479.17
34201, -00000.512, -00016.802, -00056.402, -475.31
34301,  00000.642, -00016.202, -00056.102, -479.17
34401,  00002.162, -00018.002, -00055.952, -479.17
34501, -00001.102, -00016.502, -00055.502, -480.11
34601,  00000.682, -00016.802, -00056.402, -479.17
34701, -00001.692, -00016.502, -00057.152, -480.11
34801,  00000.482, -00016.652, -00056.102, -480.11
34901,  00001.072, -00016.052, -00056.402, -479.17
35001,  00001.242, -00015.902, -00057.752, -475.31
35101, -00000.532, -00017.252, -00057.902, -357.01
35201, -00001.982, -00017.252, -00055.502, -196.02
35301, -00000.272, -00016.802, -00055.952, -101.33
35401, -00002.132, -00016.502, -00056.702, -45.45
35501, -00000.952, -00017.702, -00056.102, -17.99
35601, -00001.162, -00016.502, -00056.702, 0.94
35701, -00001.342, -00016.202, -00056.102, 0.00
35801,  00002.342, -00016.802, -00056.702, 0.00
35901, -00001.042, -00016.802, -00055.952, 0.00
36001, -00001.692, -00017.402, -00055.352, 0.00
36101, -00002.342, -00016.802, -00057.152, 0.00
36201,  00001.682, -00017.552, -00056.402, 0.00
36301,  00000.062, -00016.502, -00057.152, 0.00
36401,  00000.562, -00016.652, -00055.352, 0.00
36501, -00000.272, -00017.552, -00056.702, 0.00
36601, -00002.702, -00017.252, -00056.402, 0.00
36701,  00001.652, -00015.752, -00055.952, 0.00
36801, -00000.472, -00018.452, -00056.852, 0.00
36901, -00000.312, -00016.652, -00055.802, 0.00
37001,  00000.722, -00015.752, -00055.952, 0.00
37101,  00000.892, -00015.452, -00055.352, 0.00
37201,  00000.262, -00016.052, -00055.952, 0.00
37301,  00000.012, -00016.652, -00056.102, 0.00
37401, -00002.162, -00017.252, -00056.402, 0.00
37501, -00001.732, -00016.202, -00056.852, 0.00
37601,  00001.122, -00016.502, -00055.952, 0.00
37701,  00000.402, -00017.552, -00056.402, 0.00
37801, -00000.632, -00016.052, -00055.952, 0.00
37901, -00001.952, -00016.652, -00056.552, 0.00
38001, -00000.702, -00015.152, -00056.852, 0.00
38101,  00001.182, -00016.652, -00057.752, 0.00
38201, -00000.242, -00017.402, -00056.102, 0.00
time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
118,  00000.462, -00045.152, -00029.702, 0.78
201, -00003.662, -00047.702, -00028.502, -81.33
301,  00000.282, -00046.652, -00028.202, -206.25
401, -00001.652, -00046.052, -00028.652, -302.08
501,  00000.082, -00045.002, -00029.102, -365.62
601,  00000.872, -00045.902, -00028.952, -413.83
701, -00001.312, -00045.452, -00030.152, -445.08
801,  00001.502, -00046.652, -00029.252, -468.75
901, -00000.142, -00045.302, -00029.102, -480.00
1001, -00000.122, -00045.152, -00030.452, -491.25
1101, -00004.312, -00044.552, -00028.652, -503.79
1201,  00000.252, -00043.952, -00028.202, -508.52
1301,  00001.192, -00046.202, -00027.302, -514.20
1401,  00000.632, -00046.652, -00029.252, -515.15
1501, -00001.032, -00045.902, -00029.702, -517.99
1601, -00001.532, -00045.152, -00028.502, -518.94
1701, -00001.242, -00045.752, -00028.352, -520.83
1801, -00000.702, -00045.002, -00029.102, -519.89
1901, -00000.532, -00045.152, -00027.002, -520.83
2001, -00004.562, -00047.252, -00028.652, -521.78
2101, -00002.702, -00046.502, -00029.102, -521.78
2201,  00001.602, -00045.302, -00029.552, -522.73
2301, -00000.352, -00045.452, -00029.252, -517.50
2401,  00001.482, -00046.802, -00029.102, -523.67
2501, -00004.022, -00045.002, -00029.102, -521.78
2601, -00002.262, -00046.202, -00028.202, -521.78
2701, -00003.312, -00045.752, -00027.602, -521.78
2801, -00002.022, -00045.002, -00028.352, -522.73
2901, -00002.612, -00045.302, -00030.302, -521.78
3001, -00000.112, -00045.152, -00028.952, -522.73
3101, -00000.212, -00048.002, -00027.602, -522.73
3201, -00000.452, -00045.302, -00030.602, -522.73
3301, -00002.552, -00045.902, -00029.252, -521.78
3401, -00000.612, -00045.752, -00029.102, -522.73
3501,  00001.142, -00046.052, -00028.652, -522.73
3601, -00002.332, -00046.502, -00028.652, -522.73
3701, -00002.372, -00046.502, -00028.352, -521.78
3801, -00000.192, -00046.052, -00028.352, -522.73
3901, -00000.402, -00046.052, -00029.552, -522.73
4001,  00000.372, -00046.502, -00027.902, -521.78
4101, -00000.342, -00045.302, -00028.652, -521.78
4201, -00003.262, -00046.652, -00028.952, -523.67
4301,  00000.612, -00046.052, -00028.352, -522.73
4401, -00000.442, -00044.702, -00028.952, -522.73
4501, -00001.682, -00046.052, -00029.102, -522.73
4601, -00001.762, -00043.952, -00029.252, -522.73
4701, -00002.302, -00045.902, -00028.202, -522.73
4801, -00000.762, -00045.452, -00028.952, -522.73
4901,  00000.032, -00046.802, -00028.652, -522.73
5001,  00000.432, -00045.452, -00029.702, -523.67
5101, -00002.712, -00045.452, -00029.252, -521.78
5201, -00001.672, -00045.902, -00028.502, -523.67
5301,  00000.562, -00046.802, -00029.552, -523.67
5401, -00001.182, -00046.202, -00028.202, -522.73
5501, -00001.522, -00046.652, -00029.702, -521.78
5601, -00000.492, -00045.002, -00028.352, -522.73
5701, -00001.442, -00045.752, -00027.902, -521.78
5801, -00001.582, -00045.752, -00027.902, -522.73
5901,  00001.402, -00045.302, -00028.652, -523.67
6001,  00001.582, -00046.502, -00029.102, -522.73
6101, -00001.862, -00046.652, -00028.952, -522.73
6201, -00000.562, -00046.502, -00029.102, -522.73
6301, -00000.982, -00046.052, -00028.352, -522.73
6401, -00001.852, -00047.552, -00029.102, -523.67
6501,  00001.402, -00045.152, -00029.252, -523.67
6601, -00001.582, -00047.252, -00030.302, -522.73
6701, -00000.592, -00046.052, -00028.352, -522.73
6801,  00000.622, -00046.502, -00029.552, -523.67
6901,  00001.012, -00044.552, -00029.552, -521.78
7001,  00002.242, -00045.002, -00027.902, -517.50
7101, -00000.382, -00045.002, -00028.652, -518.44
7201,  00001.112, -00046.202, -00030.152, -522.73
7301,  00000.792, -00045.902, -00029.702, -523.67
7401, -00002.472, -00044.552, -00028.652, -522.73
7501, -00001.022, -00045.452, -00027.752, -518.44
7601,  00002.312, -00046.502, -00029.552, -522.73
7701,  00001.122, -00045.752, -00028.352, -522.73
7801, -00004.082, -00045.452, -00029.702, -523.67
7901, -00001.182, -00045.902, -00029.702, -523.67
8001,  00000.302, -00046.652, -00029.702, -522.73
8101, -00000.892, -00044.702, -00029.702, -521.78
8201, -00000.242, -00045.302, -00028.352, -523.67
8301,  00001.152, -00046.202, -00029.702, -522.73
8401,  00000.442, -00046.052, -00029.102, -522.73
8501, -00001.522, -00045.902, -00030.152, -521.78
8601,  00003.232, -00046.502, -00027.602, -523.67
8701,  00000.532, -00045.152, -00029.252, -522.73
8801, -00002.102, -00045.002, -00029.102, -521.78
8901,  00001.892, -00045.902, -00028.502, -524.62
9001,  00001.962, -00046.052, -00029.102, -522.73
9101, -00000.672, -00045.152, -00028.202, -522.73
9201,  00000.052, -00045.902, -00028.202, -523.67
9301,  00000.032, -00045.752, -00029.102, -523.67
9401,  00000.212, -00047.252, -00027.902, -523.67
9501, -00002.272, -00045.452, -00029.702, -522.73
9601, -00003.242, -00045.752, -00029.852, -523.67
9701, -00002.842, -00046.802, -00029.852, -523.67
9801, -00002.662, -00046.202, -00028.202, -522.73
9901, -00002.102, -00047.702, -00030.152, -521.78
10001,  00000.122, -00044.702, -00029.252, -523.67
10101,  00002.572, -00046.652, -00029.702, -523.67
10201, -00001.772, -00045.002, -00029.102, -524.62
10301, -00001.012, -00047.402, -00029.252, -522.73
10401,  00002.752, -00046.502, -00028.652, -524.62
