time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
30601, -00002.892,  00031.052,  00010.802, -515.15
30701, -00002.972,  00032.702,  00010.652, -516.10
30801,  00001.802,  00033.902,  00008.702, -515.15
30901,  00000.082,  00032.702,  00009.902, -514.20
31001, -00001.272,  00032.402,  00010.352, -515.15
31101, -00001.062,  00031.802,  00008.252, -517.05
31201, -00003.852,  00032.852,  00010.802, -517.05
31301,  00001.712,  00033.302,  00009.752, -516.10
31401,  00006.002,  00031.352,  00012.152, -510.94
31501,  00010.442,  00032.402,  00009.902, -510.00
31601,  00011.702,  00032.402,  00010.352, -514.20
31701,  00011.372,  00032.702,  00012.152, -515.15
31801,  00008.222,  00034.502,  00011.852, -515.15
31901,  00008.352,  00034.202,  00011.402, -516.10
32001,  00008.512,  00035.852,  00012.452, -516.10
32101,  00008.082,  00035.252,  00012.452, -515.15
32201, -00002.532,  00035.402,  00013.052, -515.15
32301,  00005.182,  00036.452,  00012.752, -516.10
32401,  00003.402,  00037.652,  00012.452, -516.10
32501,  00009.772,  00036.302,  00013.952, -516.10
32601,  00005.782,  00037.502,  00014.252, -516.10
32701,  00003.312,  00036.752,  00012.302, -517.05
32801,  00002.502,  00034.652,  00014.252, -516.10
32901, -00003.202,  00037.052,  00013.202, -516.10
33001,  00003.562,  00035.552,  00014.702, -516.10
33101,  00000.682,  00038.402,  00013.652, -516.10
33201,  00005.992,  00038.102,  00013.202, -517.05
33301,  00001.692,  00037.352,  00014.702, -517.05
33401, -00002.852,  00038.252,  00016.052, -511.88
33501, -00003.812,  00037.502,  00014.852, -516.10
33601, -00003.002,  00038.102,  00016.352, -516.10
33701,  00000.942,  00038.402,  00016.202, -515.15
33801,  00000.092,  00038.102,  00014.702, -515.15
33901,  00000.642,  00036.302,  00015.452, -517.05
34001, -00001.662,  00036.152,  00015.602, -516.10
34101, -00001.402,  00036.302,  00014.402, -517.05
34201,  00001.232,  00036.752,  00014.852, -514.20
34301, -00001.492,  00038.252,  00014.552, -515.15
34401, -00000.982,  00038.102,  00013.952, -516.10
34501, -00001.922,  00036.452,  00014.852, -510.94
34601, -00000.362,  00036.452,  00013.802, -516.10
34701,  00000.672,  00037.202,  00015.302, -517.05
34801,  00001.732,  00038.552,  00015.602, -516.10
34901, -00000.812,  00037.652,  00014.402, -515.15
35001,  00000.202,  00037.502,  00014.552, -516.10
35101,  00028.082,  00035.852,  00014.702, -369.32
35201, -00001.952,  00035.552,  00013.952, -183.71
35301,  00000.542,  00036.152,  00015.302, -83.44
35401, -00000.952,  00036.302,  00015.152, -33.14
35501,  00001.442,  00035.852,  00015.152, -8.44
35601, -00002.292,  00035.402,  00014.852, 0.94
35701, -00000.952,  00036.602,  00015.902, 0.00
35801, -00003.342,  00035.852,  00015.152, 0.00
35901, -00001.202,  00036.302,  00015.452, 0.00
36001, -00000.052,  00036.302,  00016.202, 0.00
36101, -00000.372,  00035.702,  00013.502, 0.00
36201,  00000.502,  00036.152,  00016.352, 0.00
36301, -00001.532,  00037.502,  00015.602, 0.00
36401, -00001.572,  00035.552,  00014.402, 0.00
36501, -00003.382,  00036.452,  00015.302, 0.00
36601, -00001.502,  00035.552,  00015.902, 0.00
36701, -00001.682,  00036.452,  00016.352, 0.00
36801, -00000.082,  00035.402,  00014.852, 0.00
36901,  00000.722,  00037.052,  00016.202, 0.00
37001,  00000.972,  00034.652,  00016.802, 0.00
37101, -00002.842,  00036.152,  00014.552, 0.00
37201, -00004.372,  00037.052,  00015.902, 0.00
37301,  00000.532,  00035.552,  00017.402, 0.00
37401, -00001.912,  00036.602,  00014.402, 0.00
37501, -00002.442,  00035.252,  00015.152, 0.00
37601, -00001.592,  00035.552,  00014.702, 0.00
37701, -00000.022,  00036.452,  00015.302, 0.00
37801,  00001.192,  00035.852,  00015.452, 0.00
37901, -00002.442,  00037.352,  00014.402, 0.00
38001, -00000.562,  00035.852,  00015.902, 0.00
38101,  00000.382,  00035.852,  00015.902, 0.00
38201, -00003.172,  00036.302,  00016.952, 0.00
38301, -00002.352,  00035.252,  00015.452, 0.00
38401, -00037.642,  00037.052,  00012.902, 0.00
38501, -00041.762,  00033.602,  00013.502, 0.00
38601, -00013.422,  00033.902,  00013.502, 0.00
38701, -00019.092,  00033.602,  00011.552, 0.00
38801, -00010.462,  00034.202,  00012.452, 0.00
38901, -00001.002,  00032.402,  00011.852, 0.00
39001,  00001.442,  00032.852,  00013.052, 0.00
39101, -00001.732,  00031.802,  00012.002, 0.00
39201, -00000.992,  00032.552,  00013.502, 0.00
39301, -00000.272,  00032.402,  00012.152, 0.00
39401,  00000.932,  00032.402,  00012.452, 0.00
39501,  00000.592,  00033.452,  00011.852, 0.00
39601, -00001.052,  00032.402,  00013.202, 0.00
39701, -00000.362,  00033.002,  00012.152, 0.00
39801, -00001.402,  00031.352,  00011.402, 0.00
39901,  00000.152,  00032.402,  00011.852, 0.00
time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
101, -00001.242,  00038.402,  00011.102, 0.00
201, -00001.212,  00044.852,  00014.402, -94.69
301, -00001.342,  00042.752,  00012.152, -228.75
401, -00000.302,  00042.002,  00013.652, -321.02
501, -00002.012,  00042.152,  00010.502, -381.63
601, -00001.562,  00040.652,  00012.302, -420.00
701,  00000.642,  00043.052,  00011.852, -452.65
801,  00000.932,  00041.102,  00012.002, -471.59
901,  00000.692,  00040.502,  00011.402, -484.85
1001,  00000.182,  00039.602,  00010.052, -495.27
1101, -00000.412,  00040.202,  00010.352, -500.95
1201, -00001.212,  00039.302,  00012.002, -505.68
1301,  00000.382,  00040.352,  00012.002, -508.52
1401, -00001.762,  00040.352,  00011.252, -510.42
1501, -00001.892,  00040.502,  00011.852, -512.31
1601, -00001.732,  00039.602,  00009.302, -515.15
1701, -00000.122,  00039.902,  00012.152, -515.15
1801, -00001.602,  00038.402,  00011.402, -516.10
1901,  00000.402,  00040.202,  00011.102, -515.15
2001,  00000.172,  00039.302,  00012.002, -515.15
2101, -00000.152,  00040.952,  00011.102, -516.10
2201,  00000.412,  00039.302,  00009.752, -516.10
2301, -00000.932,  00039.002,  00011.552, -512.81
2401, -00000.442,  00040.952,  00010.352, -517.05
2501, -00000.862,  00039.002,  00010.502, -517.05
2601,  00002.362,  00040.352,  00011.552, -516.10
2701, -00004.332,  00040.052,  00010.052, -516.10
2801,  00000.632,  00040.352,  00011.252, -516.10
2901, -00001.232,  00039.602,  00011.252, -511.88
3001, -00000.982,  00040.352,  00010.052, -517.05
3101, -00001.312,  00038.702,  00010.652, -517.99
3201, -00000.852,  00039.302,  00009.752, -517.05
3301, -00000.842,  00039.452,  00011.102, -510.94
3401, -00000.042,  00040.352,  00011.252, -510.94
3501, -00002.602,  00040.502,  00011.402, -511.88
3601, -00001.822,  00039.902,  00009.902, -517.05
3701, -00001.242,  00039.902,  00009.602, -512.81
3801,  00000.052,  00041.252,  00011.102, -512.81
3901, -00001.732,  00039.002,  00010.502, -511.88
4001,  00002.272,  00039.602,  00010.502, -516.10
4101,  00000.662,  00039.452,  00009.902, -511.88
4201,  00000.412,  00041.252,  00011.102, -517.05
4301,  00000.142,  00039.002,  00011.252, -517.05
4401, -00000.682,  00040.202,  00011.402, -513.75
4501,  00001.372,  00039.302,  00010.802, -517.05
4601, -00000.602,  00039.302,  00011.252, -511.88
4701, -00001.002,  00040.202,  00010.352, -516.10
4801, -00000.712,  00038.252,  00009.752, -516.10
4901, -00002.382,  00039.152,  00011.402, -512.81
5001, -00001.012,  00041.102,  00011.252, -517.99
5101,  00000.632,  00039.002,  00010.502, -517.05
5201, -00003.042,  00041.252,  00011.102, -512.81
5301, -00002.922,  00039.452,  00011.402, -517.05
5401, -00000.832,  00039.302,  00012.302, -516.10
5501,  00000.312,  00039.302,  00010.502, -517.05
5601, -00000.542,  00040.052,  00010.802, -511.88
5701, -00001.212,  00040.502,  00012.902, -517.99
5801,  00001.792,  00040.952,  00010.652, -517.99
5901, -00000.562,  00039.302,  00010.052, -517.05
6001,  00000.822,  00038.252,  00010.052, -517.05
6101,  00000.112,  00040.052,  00009.302, -516.10
6201,  00000.232,  00039.452,  00010.652, -512.81
6301, -00000.672,  00041.252,  00011.852, -517.05
6401,  00002.142,  00039.452,  00011.402, -517.99
6501, -00004.072,  00039.002,  00010.052, -517.99
6601, -00001.202,  00040.502,  00011.102, -517.99
6701, -00001.952,  00038.552,  00010.802, -516.10
6801,  00004.392,  00039.452,  00012.152, -511.88
6901, -00000.262,  00040.352,  00010.052, -517.05
7001, -00000.702,  00041.402,  00012.302, -517.99
7101, -00000.592,  00040.502,  00011.102, -518.94
7201, -00003.042,  00040.652,  00009.302, -517.99
7301,  00000.022,  00038.102,  00009.152, -517.05
7401, -00004.572,  00041.252,  00012.902, -511.88
7501, -00001.892,  00040.352,  00010.502, -517.05
7601,  00001.562,  00039.152,  00010.352, -512.81
7701,  00000.272,  00040.202,  00011.402, -517.99
7801, -00001.062,  00040.352,  00010.052, -518.94
7901, -00000.102,  00039.452,  00011.102, -512.81
8001, -00000.772,  00040.202,  00010.352, -517.99
8101,  00001.042,  00039.152,  00009.902, -516.10
8201,  00000.632,  00038.552,  00010.802, -512.81
8301, -00001.672,  00039.452,  00010.652, -517.05
8401,  00000.892,  00039.452,  00011.402, -517.99
8501,  00000.922,  00039.902,  00012.902, -518.94
8601,  00000.992,  00040.052,  00009.002, -512.81
8701,  00000.312,  00038.702,  00011.102, -512.81
8801,  00000.342,  00039.302,  00011.552, -517.05
8901, -00001.092,  00040.502,  00011.402, -517.05
9001, -00000.242,  00038.102,  00010.652, -517.99
9101,  00000.032,  00041.252,  00012.452, -517.99
9201, -00002.892,  00040.352,  00010.802, -518.94
9301, -00004.552,  00039.002,  00010.502, -518.94
9401, -00002.012,  00039.452,  00011.852, -517.05
9501, -00000.012,  00038.552,  00010.052, -517.05
9601,  00000.022,  00038.702,  00011.852, -512.81
9701, -00002.672,  00041.102,  00010.802, -517.99
9801, -00000.842,  00039.302,  00010.802, -517.99
9901,  00001.612,  00039.602,  00010.502, -518.94
10001, -00001.892,  00040.202,  00009.902, -517.99
10101, -00001.172,  00040.652,  00012.002, -517.99
10201, -00001.342,  00039.902,  00011.102, -517.99
10301, -00000.172,  00042.002,  00012.152, -517.05
10401, -00000.832,  00040.652,  00010.802, -513.75
10501, -00000.562,  00039.152,  00010.652, -517.99
10601, -00001.902,  00040.202,  00012.152, -519.89
10701,  00001.182,  00040.652,  00012.002, -517.99
10801,  00000.392,  00039.302,  00010.502, -517.99
10901,  00001.522,  00041.102,  00012.002, -517.05
11001, -00001.272,  00039.452,  00009.902, -512.81
11101, -00001.252,  00038.252,  00010.052, -518.94
11201, -00001.792,  00040.652,  00010.502, -518.94
11301, -00001.212,  00038.702,  00009.902, -518.94
11401,  00000.822,  00040.502,  00011.852, -512.81
11501, -00004.212,  00040.652,  00010.502, -517.99
11601,  00001.412,  00039.452,  00011.852, -517.05
11701, -00002.162,  00040.502,  00010.652, -517.05
11801, -00000.102,  00039.902,  00011.102, -518.94
11901, -00000.982,  00040.352,  00011.552, -513.75
12001, -00002.432,  00039.452,  00011.102, -518.94
12101,  00001.202,  00040.052,  00010.052, -517.99
12201, -00001.982,  00040.952,  00011.402, -517.99
12301,  00002.392,  00040.502,  00010.652, -517.05
12401,  00000.072,  00039.452,  00011.102, -517.99
12501, -00001.952,  00039.002,  00012.302, -517.99
12601,  00000.152,  00039.602,  00010.802, -518.94
12701, -00001.352,  00039.002,  00012.302, -518.94
12801, -00000.222,  00039.002,  00011.252, -512.81
12901, -00000.392,  00039.002,  00010.502, -517.99
13001, -00001.472,  00040.952,  00010.652, -517.05
13101, -00003.432,  00039.452,  00010.352, -517.99
13201, -00001.932,  00039.602,  00010.052, -518.94
13301, -00000.332,  00040.952,  00011.852, -518.94
13401, -00001.792,  00039.302,  00010.502, -517.99
